date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:27:42	3704/3704	---M--	200	added ('OK')	image/png	etag:%2267c5a073-e78%22	https://danslacuisinededede.com/dff/images/icons/icon-select-two.png	D:/sem6/block/danslacuisinededede.com/dff/images/icons/icon-select-two.png	(from https://danslacuisinededede.com/dff/css/style.css)
21:27:44	4429/4429	---M--	200	added ('OK')	image/png	etag:%2267c5a075-114d%22	https://danslacuisinededede.com/dff/images/icons/quote-icon.png	D:/sem6/block/danslacuisinededede.com/dff/images/icons/quote-icon.png	(from https://danslacuisinededede.com/dff/css/style.css)
21:27:45	392277/392277	---M--	200	added ('OK')	image/jpeg	etag:%2267c5a04d-5fc55%22	https://danslacuisinededede.com/dff/images/background/2.jpg	D:/sem6/block/danslacuisinededede.com/dff/images/background/2.jpg	(from https://danslacuisinededede.com/dff/css/style.css)
21:27:46	1087/1087	---M--	200	added ('OK')	image/png	etag:%2267c5a073-43f%22	https://danslacuisinededede.com/dff/images/icons/icon-select.png	D:/sem6/block/danslacuisinededede.com/dff/images/icons/icon-select.png	(from https://danslacuisinededede.com/dff/css/style.css)
21:27:46	164865/164865	---M--	200	added ('OK')	image/jpeg	etag:%2267c5a0a8-28401%22	https://danslacuisinededede.com/dff/images/resource/page-title-bg.jpg	D:/sem6/block/danslacuisinededede.com/dff/images/resource/page-title-bg.jpg	(from https://danslacuisinededede.com/dff/css/style.css)
21:27:47	239235/239235	---M--	200	added ('OK')	image/jpeg	etag:%2267c5a07b-3a683%22	https://danslacuisinededede.com/dff/images/main-slider/image-10.jpg	D:/sem6/block/danslacuisinededede.com/dff/images/main-slider/image-10.jpg	(from https://danslacuisinededede.com/dff/index.html)
21:27:48	66362/66362	---M--	200	added ('OK')	image/jpeg	etag:%2267c5a07c-1033a%22	https://danslacuisinededede.com/dff/images/main-slider/image-12.jpg	D:/sem6/block/danslacuisinededede.com/dff/images/main-slider/image-12.jpg	(from https://danslacuisinededede.com/dff/index.html)
21:27:48	145952/145952	---M--	200	added ('OK')	image/jpeg	etag:%2267c5a07c-23a20%22	https://danslacuisinededede.com/dff/images/main-slider/image-11.jpg	D:/sem6/block/danslacuisinededede.com/dff/images/main-slider/image-11.jpg	(from https://danslacuisinededede.com/dff/index.html)
21:27:49	75581/75581	---M--	200	added ('OK')	image/jpeg	etag:%2267c5a0aa-1273d%22	https://danslacuisinededede.com/dff/images/resource/service-1.jpg	D:/sem6/block/danslacuisinededede.com/dff/images/resource/service-1.jpg	(from https://danslacuisinededede.com/dff/index.html)
21:27:50	38581/38581	---M--	200	added ('OK')	image/jpeg	etag:%2267c5a0ae-96b5%22	https://danslacuisinededede.com/dff/images/resource/service-2.jpg	D:/sem6/block/danslacuisinededede.com/dff/images/resource/service-2.jpg	(from https://danslacuisinededede.com/dff/index.html)
21:27:50	18278/18278	---M--	200	added ('OK')	image/jpeg	etag:%2267c5a0ae-4766%22	https://danslacuisinededede.com/dff/images/resource/service-3.jpg	D:/sem6/block/danslacuisinededede.com/dff/images/resource/service-3.jpg	(from https://danslacuisinededede.com/dff/index.html)
21:27:51	45468/45468	---M--	200	added ('OK')	image/jpeg	etag:%2267c5a0af-b19c%22	https://danslacuisinededede.com/dff/images/resource/service-4.jpg	D:/sem6/block/danslacuisinededede.com/dff/images/resource/service-4.jpg	(from https://danslacuisinededede.com/dff/index.html)
21:27:52	42578/42578	---M--	200	added ('OK')	image/jpeg	etag:%2267c5a0af-a652%22	https://danslacuisinededede.com/dff/images/resource/service-5.jpg	D:/sem6/block/danslacuisinededede.com/dff/images/resource/service-5.jpg	(from https://danslacuisinededede.com/dff/index.html)
21:27:53	32052/32052	---M--	200	added ('OK')	image/jpeg	etag:%2267c5a0b0-7d34%22	https://danslacuisinededede.com/dff/images/resource/service-6.jpg	D:/sem6/block/danslacuisinededede.com/dff/images/resource/service-6.jpg	(from https://danslacuisinededede.com/dff/index.html)
21:27:53	65549/65549	---M--	200	added ('OK')	image/jpeg	etag:%2267c5a0b1-1000d%22	https://danslacuisinededede.com/dff/images/resource/service-7.jpg	D:/sem6/block/danslacuisinededede.com/dff/images/resource/service-7.jpg	(from https://danslacuisinededede.com/dff/index.html)
21:27:54	59807/59807	---M--	200	added ('OK')	image/jpeg	etag:%2267c5a0b2-e99f%22	https://danslacuisinededede.com/dff/images/resource/service-8.jpg	D:/sem6/block/danslacuisinededede.com/dff/images/resource/service-8.jpg	(from https://danslacuisinededede.com/dff/index.html)
21:27:54	51789/51789	---M--	200	added ('OK')	image/jpeg	etag:%2267c5a0b2-ca4d%22	https://danslacuisinededede.com/dff/images/resource/service-9.jpg	D:/sem6/block/danslacuisinededede.com/dff/images/resource/service-9.jpg	(from https://danslacuisinededede.com/dff/index.html)
21:27:55	102901/102901	---M--	200	added ('OK')	image/jpeg	etag:%2267c5a0ac-191f5%22	https://danslacuisinededede.com/dff/images/resource/service-10.jpg	D:/sem6/block/danslacuisinededede.com/dff/images/resource/service-10.jpg	(from https://danslacuisinededede.com/dff/index.html)
21:27:56	84389/84389	---M--	200	added ('OK')	image/jpeg	etag:%2267c5a0ac-149a5%22	https://danslacuisinededede.com/dff/images/resource/service-11.jpg	D:/sem6/block/danslacuisinededede.com/dff/images/resource/service-11.jpg	(from https://danslacuisinededede.com/dff/index.html)
21:27:56	84998/84998	---M--	200	added ('OK')	image/jpeg	etag:%2267c5a0ad-14c06%22	https://danslacuisinededede.com/dff/images/resource/service-12.jpg	D:/sem6/block/danslacuisinededede.com/dff/images/resource/service-12.jpg	(from https://danslacuisinededede.com/dff/index.html)
